Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AIV,Apartment Investment and Management Company,45.98,$7.2B,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv
BNY,BlackRock New York Investment Quality Municipal Trust Inc. (Th,16.6699,$215.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bny
JPEP,JP Energy Partners LP,7.27,$266.47M,2014,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/jpep
KOSS,Koss Corporation,2.04,$15.06M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/koss
CPT,Camden Property Trust,87.45,$7.64B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cpt
RIF,RMR Real Estate Income Fund,22.5,$172.16M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rif
PTC,PTC Inc.,41.21,$4.72B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ptc
HCAC,Hennessy Capital Acquisition Corp. II,9.75,$243.26M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/hcac
SWC,Stillwater Mining Company,15.03,$1.82B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/swc
SSRI,Silver Standard Resources Inc.,13.69,$1.63B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ssri
BRFS,BRF S.A.,17.06,$13.63B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/brfs
MSG,MSG Networks Inc.,183.92,$4.5B,2015,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/msg
RLGY,Realogy Holdings Corp.,27.05,$3.92B,2012,Finance,Real Estate,http://www.nasdaq.com/symbol/rlgy
AMRS,"Amyris, Inc.",0.3904,$82.44M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
SIF,"SIFCO Industries, Inc.",8.5,$46.46M,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/sif
MORE          ,"Monogram Residential Trust, Inc.",10.45,$1.74B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/more
AGC,Advent Claymore Convertible Securities and Income Fund II,5.76,$185.71M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
JCS,"Communications Systems, Inc.",6.92,$61.32M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs
GMO,"General Moly, Inc",0.34,$30.92M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
