PWSID,Population,Water
3310029,9000.0,24.57
3410008,44243.0,208.38453
5610043,12200.0,54.534
1910039,271817.0,570.8156999999999
710001,106455.0,245.91105
3310025,27160.0,132.8124
3710008,34894.0,51.29418
3410029,160754.0,940.4109
1910101,25605.0,39.17565
5610016,19463.0,107.43576
4910004,7702.0,16.636319999999998
1910205,178500.0,685.4399999999998
1910034,111931.0,366.01437000000004
4110023,43798.0,67.01094
3610121,12514.0,33.41238
3310006,30325.0,65.502
4510006,10293.0,22.85046
5010028,46463.0,150.54011999999997
1610004,24154.0,165.21335999999997
1910213,104876.0,251.7024
5010014,21711.0,48.84975
1910156,42157.0,212.47127999999998
4410010,94887.0,142.3305
1510006,26000.0,81.9
1910134,95493.0,272.15505
1910042,39002.0,97.11498
1910005,206548.0,1425.1812
1510015,27000.0,119.07
1910144,45000.0,126.9
3610034,166866.0,640.7654399999999
1910143,23728.0,85.42079999999999
3010100,15896.0,29.08968
4110027,14050.0,18.9675
1510012,18290.0,126.20100000000001
3610038,54036.0,173.45556000000002
3710002,94283.0,254.5641
1910124,165740.0,427.6092
2410009,83400.0,232.686
1910166,9900.0,42.174
4010008,7705.0,24.73305
710003,197536.0,432.60384000000005
3310051,8948.0,63.35184
3610029,54460.0,158.4786
3610008,12411.0,20.47815
3310008,34766.0,112.64184
1910127,33300.0,75.92399999999998
110009,78262.0,201.91596
3510001,23021.0,52.487880000000004
1910051,92386.0,188.46743999999998
4510005,85703.0,799.6089900000001
4910005,11517.0,47.33487
5410003,10334.0,34.1022
1210009,20032.0,72.11519999999999
4110016,10825.0,74.04299999999998
4210010,93091.0,148.01468999999997
3710026,25378.0,108.11028
1910212,26827.0,60.36075
1910043,193300.0,533.508
2010008,11853.0,148.28103000000002
1910003,57639.0,236.89629
3410001,174406.0,350.55606
3310007,45591.0,125.83115999999998
3910004,63651.0,141.30522
1010027,24194.0,93.63078
3310012,147178.0,626.9782799999999
3310022,52914.0,230.1759
3410014,60347.0,338.54667
4010001,16901.0,70.47717
1910024,37160.0,232.9932
1210016,16900.0,26.364
3710021,37168.0,131.57472
4910013,23478.0,49.3038
3410031,3395.0,29.5365
3610064,97318.0,236.48273999999998
2410001,29500.0,331.875
1910239,59081.0,124.0701
5410010,61946.0,130.0866
4910012,11426.0,50.73144
3010079,48628.0,167.7666
3310016,23537.0,141.22199999999995
4310009,64403.0,135.2463
4310019,116697.0,353.59191
1910225,75384.0,282.69
3010003,82364.0,279.21396
1910028,31612.0,70.17864
5010019,71181.0,160.15724999999995
3610127,10160.0,67.3608
1910152,96057.0,181.54773
3610015,7389.0,11.526839999999998
1510022,21181.0,59.09499
1910155,271677.0,472.71797999999995
5510009,3400.0,6.528
1010003,106076.0,700.1016
5610020,51609.0,181.14758999999998
5510003,28997.0,113.95821000000001
5610018,38703.0,123.07554
4410014,19000.0,32.49
3010037,72399.0,367.06293
4310004,52413.0,188.6868
3310005,119824.0,607.5076799999999
1910130,20352.0,153.86112
5110002,65416.0,241.38504
5410002,23666.0,50.40858
4110013,105576.0,171.03312
1910105,55051.0,107.34945
1510029,30232.0,141.48575999999997
4310006,40807.0,119.97258000000001
3010047,7254.0,59.41026
4110006,58242.0,466.51842
5010017,20922.0,78.4575
3010064,93322.0,240.77076
1310006,17354.0,85.38168
2710010,120592.0,300.27408
1910104,69872.0,318.61632000000003
5810003,19509.0,69.06186
4010009,45541.0,75.14264999999997
3710023,19386.0,374.53752000000003
5610017,113478.0,326.81663999999995
1910142,54872.0,118.52352
1810001,9344.0,81.01248000000001
