ZIP,returns,total,farmers
95758,27400.0,1715901.0,30.0
95762,18040.0,2710874.0,50.0
95765,14900.0,1308028.0,0.0
95776,10300.0,546834.0,50.0
95811,3580.0,199166.0,0.0
95814,3970.0,226915.0,0.0
95815,8860.0,286590.0,0.0
95816,10060.0,656333.0,0.0
95817,5630.0,239109.0,0.0
95818,10430.0,864294.0,20.0
95819,8730.0,843459.0,0.0
95820,14070.0,529481.0,0.0
95821,14990.0,749930.0,0.0
95822,19100.0,920944.0,0.0
95823,28960.0,953764.0,0.0
95824,10810.0,300968.0,0.0
95825,13950.0,641484.0,0.0
95826,16560.0,810950.0,0.0
95827,9500.0,443438.0,0.0
95828,23540.0,876717.0,30.0
95829,11900.0,727418.0,30.0
95830,370.0,32225.0,0.0
95831,21010.0,1513634.0,30.0
95832,4260.0,130806.0,0.0
95833,16950.0,793781.0,0.0
95834,11650.0,589661.0,0.0
95835,16120.0,1154288.0,30.0
95837,120.0,14115.0,0.0
95838,14120.0,449788.0,0.0
95841,8590.0,349759.0,0.0
95842,13110.0,480044.0,0.0
95843,19160.0,961941.0,0.0
95864,11240.0,1394081.0,20.0
95901,12000.0,494901.0,240.0
95903,810.0,28202.0,0.0
95912,2170.0,117755.0,150.0
95914,330.0,16036.0,30.0
95916,440.0,17564.0,0.0
95917,1260.0,62190.0,90.0
95918,880.0,64625.0,70.0
95919,470.0,20822.0,0.0
95920,110.0,8888.0,30.0
95922,180.0,7922.0,0.0
95925,100.0,4924.0,0.0
95926,14340.0,722747.0,70.0
95928,13690.0,821486.0,210.0
95932,3230.0,175696.0,150.0
95934,100.0,4279.0,0.0
95935,270.0,10081.0,0.0
95938,1830.0,139891.0,210.0
95939,140.0,5981.0,0.0
95941,150.0,6277.0,0.0
95942,640.0,39656.0,0.0
95943,380.0,39262.0,110.0
95945,11200.0,570626.0,60.0
95946,4520.0,300767.0,70.0
95947,680.0,31077.0,0.0
95948,4340.0,199795.0,250.0
95949,8700.0,547331.0,160.0
95953,3870.0,170807.0,170.0
95954,4430.0,187007.0,0.0
95957,300.0,17310.0,30.0
95959,8260.0,571455.0,90.0
95960,490.0,17105.0,0.0
95961,8980.0,385045.0,50.0
95962,640.0,32495.0,0.0
95963,6100.0,263960.0,470.0
95965,6740.0,257348.0,120.0
95966,10600.0,471586.0,160.0
95968,790.0,27331.0,30.0
95969,10740.0,531583.0,40.0
95970,240.0,18524.0,50.0
95971,2660.0,141093.0,20.0
95973,14150.0,876708.0,260.0
95975,750.0,38150.0,0.0
95977,630.0,32059.0,20.0
95979,180.0,9227.0,0.0
95982,1420.0,83612.0,50.0
95983,200.0,9767.0,0.0
95987,2640.0,115459.0,100.0
95988,3510.0,174655.0,180.0
95991,15240.0,665669.0,140.0
95993,14630.0,849329.0,300.0
96001,13390.0,796378.0,40.0
96002,13350.0,637241.0,70.0
96003,17930.0,909471.0,120.0
96006,200.0,9420.0,30.0
96007,8790.0,369092.0,220.0
96008,740.0,43365.0,20.0
96013,1590.0,72456.0,0.0
96015,130.0,4633.0,0.0
96016,140.0,8722.0,0.0
96019,3700.0,144640.0,0.0
96020,1180.0,61433.0,0.0
96021,5970.0,222843.0,320.0
96022,6300.0,319697.0,220.0
96023,430.0,15976.0,30.0
96024,320.0,14384.0,0.0
96025,830.0,30446.0,0.0
96027,810.0,39242.0,40.0
96028,610.0,30498.0,30.0
96032,900.0,40005.0,60.0
96033,160.0,5952.0,0.0
96034,120.0,5562.0,0.0
96035,1120.0,38227.0,70.0
96038,280.0,11223.0,30.0
96039,420.0,14283.0,0.0
96041,740.0,26812.0,40.0
96044,360.0,13922.0,0.0
96047,320.0,16419.0,30.0
96048,260.0,11952.0,0.0
96050,140.0,5291.0,0.0
96051,480.0,24170.0,0.0
96052,460.0,18206.0,0.0
96055,1400.0,63726.0,80.0
96056,600.0,30104.0,60.0
96057,520.0,20329.0,0.0
96058,290.0,10461.0,30.0
96059,200.0,7407.0,30.0
96062,490.0,31632.0,30.0
96064,1580.0,67070.0,130.0
96065,130.0,5309.0,0.0
96067,3450.0,181998.0,0.0
96069,350.0,16827.0,30.0
96073,2190.0,167862.0,110.0
96080,11170.0,537243.0,290.0
96086,110.0,4482.0,0.0
96088,1850.0,84581.0,30.0
96091,250.0,12467.0,0.0
96094,2550.0,121824.0,20.0
96096,300.0,14467.0,20.0
96097,4040.0,176439.0,40.0
96101,2000.0,89625.0,80.0
96103,730.0,43380.0,0.0
96104,330.0,14895.0,50.0
96105,180.0,8794.0,0.0
96107,400.0,18320.0,0.0
96109,310.0,12519.0,0.0
96114,1240.0,77013.0,50.0
96117,130.0,6366.0,0.0
96118,570.0,26873.0,0.0
96120,370.0,19549.0,0.0
96121,160.0,9434.0,0.0
96122,1520.0,68018.0,0.0
96124,140.0,7746.0,0.0
96125,110.0,5430.0,0.0
96128,240.0,13502.0,40.0
96130,5720.0,300909.0,60.0
96134,890.0,36015.0,50.0
96137,1210.0,64964.0,0.0
96146,700.0,53860.0,0.0
96150,7290.0,347112.0,0.0
96161,5150.0,463670.0,0.0
