PWSID,Population,Water,Income
0110001,340000,70.7,79031.968614046
0110005,1390000,76.0,82497.17682891115
0110006,151037,57.18181818181818,52923.520992366415
0110008,73067,96.63636363636364,163257.35
0110009,79547,68.63636363636364,133901.54626109
0410002,101447,142.0,50400.76708507671
0410006,18300,286.2,38720.53571428572
0410011,9615,92.18181818181819,44706.706114398425
0710001,106455,110.27272727272727,53550.760869565216
0710003,197536,101.63636363636364,73913.73346897254
0910001,128500,110.63636363636364,141028.90316205533
0910013,9863,144.0,66302.74725274726
1010003,108227,156.8181818181818,54884.94047619047
1010007,520159,107.27272727272727,47766.98783762439
1210004,27052,84.45454545454545,40999.312714776635
1510003,277992,141.9090909090909,53762.84569138277
1510022,23511,122.27272727272727,55612.5
1510032,14120,196.72727272727272,43031.295843520784
1910001,85068,102.8,46603.748395378694
1910003,57639,221.27272727272728,94738.60693034652
1910004,47978,74.36363636363636,41684.463403682086
1910007,110000,82.27272727272727,46275.98039215686
1910013,46300,85.0,41909.415682712686
1910019,49041,126.0909090909091,86381.99665831245
1910024,37160,160.54545454545453,95963.50741457124
1910028,31966,90.81818181818181,79772.32346241458
1910030,36215,74.36363636363636,77967.32919254659
1910033,142272,74.0909090909091,55760.33552322853
1910034,111931,92.9090909090909,48012.18655967904
1910036,160656,46.72727272727273,30077.695379349687
1910039,271817,71.0909090909091,34554.4751539453
1910040,16654,85.8,99236.09341825903
1910043,195800,94.45454545454545,64664.91071428572
1910044,50073,186.0909090909091,58393.30543933054
1910048,119650,134.45454545454547,73918.5677803788
1910051,115904,62.18181818181818,37456.61979304855
1910059,115000,114.45454545454545,62178.56141989725
1910062,32228,143.0,79471.05097545627
1910065,473247,71.36363636363636,56925.94824530309
1910067,4002667,80.18181818181819,98070.28667832426
1910073,20463,86.72727272727273,55778.01766437684
1910079,71297,75.2,30116.362281028698
1910090,39147,125.81818181818181,64514.4438587243
1910104,69892,210.0909090909091,198977.99240025334
1910105,57989,61.90909090909091,32496.33187772926
1910124,165740,110.72727272727273,98291.69342454278
1910126,151713,81.9090909090909,37364.316309719936
1910127,39711,128.27272727272728,47502.995391705066
1910134,95739,85.54545454545455,99690.63948840927
1910142,54872,126.81818181818181,72982.38566131025
1910143,23728,99.27272727272727,34320.79553384508
1910144,45000,89.0,37854.55537370431
1910146,92185,88.27272727272727,158264.54995054402
1910148,11100,174.4,111968.97196261682
1910152,102832,66.9090909090909,32360.901681100357
1910154,25899,108.8,116452.81173594132
1910155,271677,63.36363636363637,35964.56176673568
1910156,42157,191.0909090909091,270383.4220532319
1910167,122,106.63636363636364,66310.27397260274
1910173,65000,101.27272727272727,47644.21052631579
1910179,106084,107.0909090909091,71367.43128745609
1910186,102889,127.54545454545455,56933.27895595432
1910191,18361,93.0909090909091,40833.18385650224
1910194,62106,83.36363636363636,53043.75903614458
1910204,31064,197.54545454545453,157916.66666666666
1910205,178500,98.63636363636364,45853.962040332146
1910211,133000,50.0,49716.4447403462
1910213,145000,92.44444444444444,61346.44607843137
1910225,75384,223.1818181818182,138609.20834102234
1910234,113236,123.72727272727273,80098.98892633607
1910239,59081,91.0909090909091,66404.70588235294
1910245,18199,75.72727272727273,51886.84210526316
2110002,188200,85.63636363636364,176642.98428109108
2710001,29334,109.63636363636364,38094.268476621415
2710004,109817,49.54545454545455,94457.69230769231
2710017,32184,68.81818181818181,45079.445350734095
2810003,85679,83.54545454545455,63025.96226415094
2810005,20080,82.0,64635.13513513513
3010001,358549,90.0909090909091,50705.57122708039
3010002,42397,109.0909090909091,73580.25372311087
3010003,82364,92.81818181818181,49922.090197137455
3010004,108000,87.27272727272727,64422.885665850445
3010010,138000,113.72727272727273,67784.58551409759
3010018,63118,96.72727272727273,59862.995451591945
3010022,111904,84.0909090909091,68613.98985629754
3010023,65551,114.9090909090909,209362.90068313188
3010027,139463,126.45454545454545,70577.43921206525
3010035,46543,98.9090909090909,64922.48447204969
3010036,55398,114.63636363636364,137270.51482059283
3010037,73990,174.9090909090909,117153.12695434647
3010038,332005,68.0,34770.9075355782
3010041,25561,56.36363636363637,88031.91330343796
3010042,34992,102.9090909090909,109271.75463623395
3010046,67700,129.8181818181818,53302.33448143896
3010053,196041,90.36363636363636,88091.53002610966
3010062,177020,115.9090909090909,42651.71102661597
3010064,93322,86.63636363636364,46129.740957966766
3010069,59227,82.45454545454545,74699.66604823747
3010073,172068,97.0,98143.06813281587
3010079,48628,99.54545454545455,54660.20725388601
3010082,6641,392.72727272727275,192627.58620689655
3010092,385742,78.81818181818181,117183.24396782841
3010100,15896,72.81818181818181,71131.88602442334
3010101,155798,107.9090909090909,101309.32948810382
3110008,122946,99.45454545454545,68275.3841607565
3110025,95717,148.0909090909091,83439.31398416887
3310001,318217,294.0,92154.49735449735
3310005,120346,237.27272727272728,49049.66830112489
3310007,45591,96.22222222222223,45397.68542872173
3310009,539410,101.54545454545455,50263.42545047148
3310012,148719,114.27272727272727,60502.97265160523
3310020,81393,167.54545454545453,46561.78252091145
3310021,118731,115.54545454545455,41967.15362865222
3310025,27160,182.3,68780.55555555556
3310031,333829,100.18181818181819,70387.92321116928
3310038,166659,214.9090909090909,73032.63613415074
3310049,96139,143.45454545454547,54150.31312966291
3410001,174532,138.0909090909091,40277.189781021894
3410004,38354,160.0,70929.73171628077
3410006,67475,141.0,45710.31589338598
3410013,201418,84.27272727272727,44631.42559833507
3410014,67375,157.54545454545453,95160.39176626827
3410015,43767,157.72727272727272,55951.09912899212
3410018,11013,178.63636363636363,43864.83180428135
3410020,480155,103.63636363636364,52749.06863673675
3410021,39020,273.09090909090907,91847.210584344
3410029,163479,134.9090909090909,56935.78920656403
3410031,3424,195.54545454545453,50205.68893528184
3610004,73189,164.36363636363637,32852.0
3610012,78073,102.63636363636364,52113.68068251066
3610013,23614,166.8181818181818,62040.45801526718
3610018,203805,140.27272727272728,68333.36031296372
3610024,91627,126.81818181818181,38132.0570831883
3610025,9969,126.72727272727273,38445.9940652819
3610029,54460,99.45454545454545,37234.463276836155
3610034,168777,99.0909090909091,40282.009057225194
3610036,76131,121.81818181818181,81048.78996115924
3610037,77852,232.54545454545453,56678.58407079646
3610038,54036,122.63636363636364,32848.506097560974
3610039,198163,123.45454545454545,27543.955291970804
3610041,209035,114.63636363636364,42288.77595628415
3610044,25755,58.54545454545455,51181.231671554255
3610050,75670,173.0909090909091,65973.81560283688
3610052,117402,125.1,38418.085880640465
3610055,44896,200.1818181818182,51131.88010899183
3610057,14730,183.8181818181818,54856.52951699463
3610064,101733,128.9090909090909,57587.397849462366
3610120,25160,120.33333333333333,46234.24908424908
3710001,95359,54.0,70056.47590361445
3710002,94669,95.45454545454545,68202.76659959758
3710005,84838,115.0909090909091,96826.81932245923
3710010,270375,85.81818181818181,55074.279727606074
3710014,171183,87.63636363636364,55128.50200114351
3710016,19611,239.36363636363637,83587.93774319066
3710020,1324305,69.0909090909091,75399.3619594799
3710021,37168,122.0909090909091,109844.48160535117
3710023,19839,444.54545454545456,158944.4145356662
3710025,189970,65.72727272727273,42028.980699638116
3710026,25378,208.27272727272728,62199.839846252406
3710027,124746,90.45454545454545,51242.4925224327
3710029,83368,167.9090909090909,119630.39255362202
3710034,217600,88.27272727272727,71705.20078999341
3810011,846601,44.45454545454545,118253.40858091733
3910001,170457,75.36363636363636,35853.55623100304
3910011,85146,92.72727272727273,51419.5885509839
3910012,177808,104.27272727272727,43810.62404870624
4010009,45541,61.0,70314.39104314582
4110001,26730,83.72727272727273,137537.4154770849
4110006,58895,170.45454545454547,1160494.427244582
4110008,135918,70.36363636363636,135966.89842805322
4110009,60935,45.36363636363637,70976.51834034876
4110013,105576,54.1,60144.92287917738
4110017,16066,75.18181818181819,278732.58835758833
4110018,21532,73.9090909090909,102825.98770851624
4110021,37165,66.36363636363636,137893.137829912
4110022,87696,58.54545454545455,102883.03689938944
4110023,43798,47.45454545454545,73370.8
4110025,39000,52.72727272727273,85933.53596757851
4210001,14616,81.9090909090909,66832.47753530167
4210004,86946,55.18181818181818,99860.06042296073
4210010,93091,70.0,74248.12797821648
4310001,68163,124.54545454545455,349183.31788693235
4310007,76781,65.54545454545455,138569.93190151913
4310009,64403,89.18181818181819,334057.209926224
4310011,990000,80.0,89000.55577875988
4310012,118459,74.0909090909091,101256.23655913978
4310014,147055,65.5,118024.09168081493
4310019,117576,81.45454545454545,50233.46801346802
4310022,99199,73.4,86801.01137800253
4410010,94887,45.18181818181818,66451.28348214286
4410011,65739,79.27272727272727,38683.20209973753
4410014,19000,68.9,78321.49321266968
4410017,37720,56.81818181818182,70432.51417769377
4510005,91207,168.0909090909091,47733.40823970037
4510006,10293,85.875,39091.89189189189
4810007,124000,77.45454545454545,51210.60795150651
4910004,7711,67.81818181818181,51177.35849056604
4910009,170974,66.81818181818181,74232.08221626452
4910014,43398,64.45454545454545,52474.684873949576
5010010,220916,169.27272727272728,51836.19687613512
5010018,23298,111.1,48460.20618556701
5610007,203645,61.0,49736.28476652207
5610017,113478,79.81818181818181,67673.15112540193
5610018,38703,148.75,82976.14035087719
5610020,51609,132.45454545454547,157206.160867085
5610023,90687,125.18181818181819,75815.10834075393
5610024,9603,195.0909090909091,63368.33976833977
5610040,62144,147.63636363636363,81499.40828402367
5610043,12200,156.1818181818182,120591.74041297936
5710003,50836,99.54545454545455,39219.43396226415
