year,geo_name,geo,race_name,race,num_ppl,num_ppl_moe
2014,"United States","01000US","White","1",105883494,157252.0
2014,"United States","01000US","Black or African American","2",16309709,68233.5
2014,"United States","01000US","American Indian","3",727501,17326.7
2014,"United States","01000US","Alaska Native","4",35641,3462.99
2014,"United States","01000US","Other Native American","5",165583,9843.65
2014,"United States","01000US","Asian","6",7951277,38010.0
2014,"United States","01000US","Native Hawaiian or Other Pacific Islander","7",248811,8952.35
2014,"United States","01000US","Unknown","8",6443350,71580.2
2014,"United States","01000US","Two or more races","9",3063634,52758.5
