year,soc_name,soc,sex_name,sex,age,num_ppl,num_ppl_moe
2014,"Actuaries","152011","Male","1",19,15,25.169
2014,"Actuaries","152011","Male","1",20,44,75.0091
2014,"Actuaries","152011","Male","1",21,24,37.976
2014,"Actuaries","152011","Male","1",22,174,124.019
2014,"Actuaries","152011","Male","1",23,357,210.052
2014,"Actuaries","152011","Male","1",24,543,204.365
2014,"Actuaries","152011","Male","1",25,766,241.078
2014,"Actuaries","152011","Male","1",26,660,264.137
2014,"Actuaries","152011","Male","1",27,462,173.348
2014,"Actuaries","152011","Male","1",28,476,153.532
2014,"Actuaries","152011","Male","1",29,430,140.01
2014,"Actuaries","152011","Male","1",30,567,228.697
2014,"Actuaries","152011","Male","1",31,939,362.444
2014,"Actuaries","152011","Male","1",32,612,226.958
2014,"Actuaries","152011","Male","1",33,487,199.778
2014,"Actuaries","152011","Male","1",34,506,201.731
2014,"Actuaries","152011","Male","1",35,451,249.665
2014,"Actuaries","152011","Male","1",36,265,117.021
2014,"Actuaries","152011","Male","1",37,324,153.812
2014,"Actuaries","152011","Male","1",38,356,151.92
2014,"Actuaries","152011","Male","1",39,265,125.079
2014,"Actuaries","152011","Male","1",40,441,178.082
2014,"Actuaries","152011","Male","1",41,428,190.672
2014,"Actuaries","152011","Male","1",42,323,140.075
2014,"Actuaries","152011","Male","1",43,264,132.564
2014,"Actuaries","152011","Male","1",44,495,193.034
2014,"Actuaries","152011","Male","1",45,573,218.648
2014,"Actuaries","152011","Male","1",46,426,174.353
2014,"Actuaries","152011","Male","1",47,299,104.802
2014,"Actuaries","152011","Male","1",48,502,240.866
2014,"Actuaries","152011","Male","1",49,260,192.53
2014,"Actuaries","152011","Male","1",50,243,103.753
2014,"Actuaries","152011","Male","1",51,211,124.263
2014,"Actuaries","152011","Male","1",52,412,148.942
2014,"Actuaries","152011","Male","1",53,273,123.424
2014,"Actuaries","152011","Male","1",54,288,127.34
2014,"Actuaries","152011","Male","1",55,178,104.297
2014,"Actuaries","152011","Male","1",56,251,113.582
2014,"Actuaries","152011","Male","1",57,95,75.3493
2014,"Actuaries","152011","Male","1",58,271,112.675
2014,"Actuaries","152011","Male","1",59,173,93.5534
2014,"Actuaries","152011","Male","1",60,310,171.454
2014,"Actuaries","152011","Male","1",61,213,155.089
2014,"Actuaries","152011","Male","1",62,164,132.733
2014,"Actuaries","152011","Male","1",63,178,91.623
2014,"Actuaries","152011","Male","1",64,118,73.2681
2014,"Actuaries","152011","Male","1",65,94,63.1935
2014,"Actuaries","152011","Male","1",66,68,58.3175
2014,"Actuaries","152011","Male","1",67,15,25.1341
2014,"Actuaries","152011","Male","1",69,12,20.759
2014,"Actuaries","152011","Male","1",70,22,37.8439
2014,"Actuaries","152011","Male","1",72,58,75.645
2014,"Actuaries","152011","Male","1",74,25,41.1579
2014,"Actuaries","152011","Male","1",76,19,31.9274
2014,"Actuaries","152011","Male","1",80,9,14.8141
2014,"Actuaries","152011","Male","1",83,20,31.6807
2014,"Actuaries","152011","Female","2",20,10,16.4706
2014,"Actuaries","152011","Female","2",21,319,382.358
2014,"Actuaries","152011","Female","2",22,212,170.579
2014,"Actuaries","152011","Female","2",23,234,138.993
2014,"Actuaries","152011","Female","2",24,282,149.677
2014,"Actuaries","152011","Female","2",25,609,296.585
2014,"Actuaries","152011","Female","2",26,310,163.498
2014,"Actuaries","152011","Female","2",27,373,196.863
2014,"Actuaries","152011","Female","2",28,433,184.707
2014,"Actuaries","152011","Female","2",29,185,98.3478
2014,"Actuaries","152011","Female","2",30,380,154.423
2014,"Actuaries","152011","Female","2",31,160,92.1244
2014,"Actuaries","152011","Female","2",32,248,125.143
2014,"Actuaries","152011","Female","2",33,211,119.993
2014,"Actuaries","152011","Female","2",34,258,122.486
2014,"Actuaries","152011","Female","2",35,173,97.5056
2014,"Actuaries","152011","Female","2",36,416,172.532
2014,"Actuaries","152011","Female","2",37,182,146.802
2014,"Actuaries","152011","Female","2",38,210,116.215
2014,"Actuaries","152011","Female","2",39,288,123.282
2014,"Actuaries","152011","Female","2",40,225,133.488
2014,"Actuaries","152011","Female","2",41,325,192.307
2014,"Actuaries","152011","Female","2",42,288,170.506
2014,"Actuaries","152011","Female","2",43,304,189.497
2014,"Actuaries","152011","Female","2",44,222,120.137
2014,"Actuaries","152011","Female","2",45,313,169.791
2014,"Actuaries","152011","Female","2",46,96,50.9007
2014,"Actuaries","152011","Female","2",47,172,106.895
2014,"Actuaries","152011","Female","2",48,131,82.9617
2014,"Actuaries","152011","Female","2",49,118,70.4715
2014,"Actuaries","152011","Female","2",50,126,71.3056
2014,"Actuaries","152011","Female","2",51,243,153.133
2014,"Actuaries","152011","Female","2",52,46,42.7494
2014,"Actuaries","152011","Female","2",53,49,58.227
2014,"Actuaries","152011","Female","2",54,321,155.671
2014,"Actuaries","152011","Female","2",55,102,79.4136
2014,"Actuaries","152011","Female","2",56,69,65.0711
2014,"Actuaries","152011","Female","2",57,55,56.8418
2014,"Actuaries","152011","Female","2",58,98,79.6102
2014,"Actuaries","152011","Female","2",59,123,83.066
2014,"Actuaries","152011","Female","2",60,49,44.975
2014,"Actuaries","152011","Female","2",61,44,39.1824
2014,"Actuaries","152011","Female","2",62,21,34.8802
2014,"Actuaries","152011","Female","2",64,16,26.3816
2014,"Actuaries","152011","Female","2",65,15,26.4559
2014,"Actuaries","152011","Female","2",66,48,52.1117
2014,"Actuaries","152011","Female","2",67,25,40.205
2014,"Actuaries","152011","Female","2",69,15,25.2308
