Price,Bedrooms,Bathrooms,Size,Santa Maria-Orcutt (0/1),Paso Robles (0/1),Atascadero (0/1),Nipomo (0/1),Arroyo Grande (0/1),Lompoc (0/1),Los Osos (0/1),Grover Beach (0/1), Paso Robles (0/1),San Miguel (0/1)
189500.0,2,2,1040,0,0,0,1,0,0,0,0,0,0
259900.0,3,2,1120,0,0,0,0,0,0,1,0,0,0
349000.0,3,2,1467,0,0,0,0,0,0,0,0,1,0
379000.0,4,2,1631,0,0,0,0,0,0,0,1,0,0
299900.0,4,3,2150,1,0,0,0,0,0,0,0,0,0
350900.0,3,2,1686,0,0,0,0,0,1,0,0,0,0
139000.0,3,2,1075,1,0,0,0,0,0,0,0,0,0
399000.0,3,2,1220,0,1,0,0,0,0,0,0,0,0
165000.0,3,2,1110,1,0,0,0,0,0,0,0,0,0
165000.0,3,2,1300,1,0,0,0,0,0,0,0,0,0
99999.0,2,3,1800,1,0,0,0,0,0,0,0,0,0
215000.0,4,2,1750,1,0,0,0,0,0,0,0,0,0
179900.0,3,2,1972,1,0,0,0,0,0,0,0,0,0
649000.0,4,2,1814,0,0,0,1,0,0,0,0,0,0
275000.0,3,2,1320,0,0,0,0,0,0,1,0,0,0
1249000.0,6,7,5103,0,0,0,0,0,0,1,0,0,0
179900.0,3,3,1520,1,0,0,0,0,0,0,0,0,0
399000.0,4,3,1888,0,1,0,0,0,0,0,0,0,0
850000.0,4,4,3744,0,0,1,0,0,0,0,0,0,0
479000.0,3,2,1462,0,0,0,0,0,0,0,1,0,0
359900.0,5,3,3036,0,0,0,1,0,0,0,0,0,0
155000.0,3,2,1593,1,0,0,0,0,0,0,0,0,0
95000.0,2,1,756,0,0,1,0,0,0,0,0,0,0
199000.0,3,1,940,0,0,0,0,0,0,0,0,1,0
374900.0,3,2,1368,0,0,0,0,1,0,0,0,0,0
427900.0,4,3,2367,1,0,0,0,0,0,0,0,0,0
165000.0,2,1,1100,1,0,0,0,0,0,0,0,0,0
890000.0,4,5,4229,0,0,1,0,0,0,0,0,0,0
210000.0,4,2,1377,1,0,0,0,0,0,0,0,0,0
348000.0,3,2,1600,1,0,0,0,0,0,0,0,0,0
250000.0,1,1,748,0,0,0,0,1,0,0,0,0,0
259000.0,4,2,1336,0,0,0,1,0,0,0,0,0,0
197000.0,3,2,1376,1,0,0,0,0,0,0,0,0,0
299900.0,3,3,2511,1,0,0,0,0,0,0,0,0,0
389000.0,3,2,1415,0,0,1,0,0,0,0,0,0,0
249000.0,3,2,1400,1,0,0,0,0,0,0,0,0,0
225000.0,3,2,1550,0,1,0,0,0,0,0,0,0,0
279000.0,3,3,1700,1,0,0,0,0,0,0,0,0,0
199000.0,2,1,973,0,0,1,0,0,0,0,0,0,0
187900.0,2,2,980,1,0,0,0,0,0,0,0,0,0
179999.0,3,2,1086,1,0,0,0,0,0,0,0,0,0
199000.0,4,2,1527,0,0,0,0,0,1,0,0,0,0
220000.0,2,2,1541,1,0,0,0,0,0,0,0,0,0
399000.0,6,3,2628,0,0,1,0,0,0,0,0,0,0
74900.0,2,2,1014,1,0,0,0,0,0,0,0,0,0
260000.0,3,2,1278,1,0,0,0,0,0,0,0,0,0
315000.0,3,2,1300,0,1,0,0,0,0,0,0,0,0
810000.0,4,3,3305,0,0,1,0,0,0,0,0,0,0
275000.0,3,2,1424,1,0,0,0,0,0,0,0,0,0
299000.0,2,2,1257,0,0,0,0,1,0,0,0,0,0
319900.0,3,3,1605,0,0,0,0,0,0,0,0,1,0
150000.0,2,2,896,0,0,0,0,0,0,1,0,0,0
214000.0,2,2,1042,0,0,0,0,0,0,1,0,0,0
410000.0,5,3,2100,1,0,0,0,0,0,0,0,0,0
259900.0,3,3,1300,1,0,0,0,0,0,0,0,0,0
229000.0,3,2,1458,0,0,0,0,0,0,0,0,0,1
242500.0,3,3,1650,0,0,0,1,0,0,0,0,0,0
256000.0,4,2,1174,1,0,0,0,0,0,0,0,0,0
399000.0,4,3,2818,0,1,0,0,0,0,0,0,0,0
211500.0,3,2,1275,1,0,0,0,0,0,0,0,0,0
99000.0,1,1,538,0,0,0,0,0,0,1,0,0,0
109900.0,3,1,1249,1,0,0,0,0,0,0,0,0,0
399000.0,2,1,1250,0,1,0,0,0,0,0,0,0,0
425000.0,3,2,1807,0,0,0,0,0,0,0,0,1,0
269000.0,3,3,1780,1,0,0,0,0,0,0,0,0,0
405000.0,3,2,1728,0,0,0,0,0,1,0,0,0,0
159900.0,3,2,1114,1,0,0,0,0,0,0,0,0,0
240000.0,3,3,2039,1,0,0,0,0,0,0,0,0,0
167900.0,3,2,1296,1,0,0,0,0,0,0,0,0,0
829900.0,4,3,3827,0,0,1,0,0,0,0,0,0,0
165000.0,3,2,1200,1,0,0,0,0,0,0,0,0,0
255000.0,3,2,1218,1,0,0,0,0,0,0,0,0,0
309000.0,3,2,1488,0,1,0,0,0,0,0,0,0,0
520000.0,3,3,2600,0,0,0,0,1,0,0,0,0,0
315000.0,3,2,2004,1,0,0,0,0,0,0,0,0,0
132000.0,3,1,1050,1,0,0,0,0,0,0,0,0,0
409900.0,4,4,2135,0,0,1,0,0,0,0,0,0,0
260000.0,3,2,1413,0,0,0,0,0,1,0,0,0,0
350000.0,3,2,1395,0,1,0,0,0,0,0,0,0,0
199000.0,2,3,1260,0,0,1,0,0,0,0,0,0,0
169000.0,3,2,1200,1,0,0,0,0,0,0,0,0,0
250000.0,2,2,1292,0,1,0,0,0,0,0,0,0,0
199500.0,3,2,1184,0,0,0,0,0,0,0,0,0,1
242500.0,3,2,1218,1,0,0,0,0,0,0,0,0,0
198900.0,3,2,1225,0,0,0,0,0,1,0,0,0,0
131900.0,1,2,300,0,0,0,0,0,0,0,0,1,0
199000.0,3,2,1269,1,0,0,0,0,0,0,0,0,0
539900.0,4,3,3032,0,1,0,0,0,0,0,0,0,0
249000.0,3,2,1275,0,1,0,0,0,0,0,0,0,0
339900.0,6,3,2053,1,0,0,0,0,0,0,0,0,0
399000.0,2,3,1772,0,0,0,0,0,0,0,0,1,0
199900.0,3,3,1600,1,0,0,0,0,0,0,0,0,0
365000.0,4,4,4000,1,0,0,0,0,0,0,0,0,0
185000.0,3,2,1300,1,0,0,0,0,0,0,0,0,0
199900.0,5,3,1671,1,0,0,0,0,0,0,0,0,0
265000.0,2,3,1700,1,0,0,0,0,0,0,0,0,0
275000.0,3,2,1700,0,0,0,0,0,1,0,0,0,0
235000.0,3,2,1340,0,1,0,0,0,0,0,0,0,0
282000.0,3,3,1736,0,0,0,0,0,1,0,0,0,0
399000.0,4,3,2100,1,0,0,0,0,0,0,0,0,0
325000.0,3,2,1171,0,0,0,0,1,0,0,0,0,0
