CMSA,DIVISION,METRO3,REGION,SMSA,ACCESS,AIR,AIRSYS,BATHS,BEDRMS,BUILT,BURNER,BUSPER,CELLAR,CLIMB,CONDO,COOK,DENS,DINING,DIRAC,DISH,DISPL,DRSHOP,DRY,EBAR,ELEV,EXCLUS,FAMRM,FLOORS,FLOT,FPINS,FPLWK,FRPL,FRPLI,FRSTOC,GARAGE,HALFB,HOTPIP,INCP,KEXCLU,KITCH,KITCHEN,LAUNDY,LIVING,LOT,MOBILTYP,MOPERM,MOSALL,MOSAPR,MOSAUG,MOSDEC,MOSFEB,MOSJAN,MOSJUL,MOSJUN,MOSMAR,MOSMAY,MOSNOV,MOSOCT,MOSSEP,NEWC,NUMAIR,NUNIT2,NUNITS,OARSYS,OTBUP,OTHFN,OTHRUN,OVEN,OWNLOT,PHONE,PLUGS,PORCH,PREOCC,PUBSEW,RECRM,REFR,ROOMS,SEWDIS,SEWDUS,SHARAT,SHARFR,SINHV,SINK,SINVV,SOTHV,SRECV,SRENTV,SSELV,STEAM,TENURE,TIMSHR,TRASH,TUB,TYPE,UNITSF,VACANC2,VACANC2B,VACANCY,WASH,WATER,WATERD,WELDUS,WELL,WHNGET,YRRND,BLDMNT,BLEAK,BSINK,CRACKS,DISAS,EBOARD,EBROKE,ECRUMB,EGOOD,EHOLER,ELEVWK,EMISSR,EMISSW,EROACH,ESAGR,ESLOPW,EVROD,EXPOSE,FREEZE,GRDMNT,HOLES,HOWH,IFBLOW,IFCOLD,IFDRY,IFSEW,IFTLT,ILEAK,LEAK,M12ROACH,M12ROD,MAJR1,MAJR2,MAJR3,MICE,MINR1,MINR2,MINR3,NLEAK1,NLEAK2,NOTSUR,NOWIRE,NUMBLOW,NUMCOLD,NUMDRY,NUMSEW,NUMTLT,OTHCLD,OTLEAK,PILEAK,PLEAK,PLUMB,RATFREQ,RATS,RLEAK,ROACHFRQ,TOILET,TREP,WATERS,WHYCD1,WHYCD2,WHYCD3,WHYCD4,WHYCD5,WLEAK,WTRHRL,ZADEQ,AMTI,AMTT,AMTW,AMTX,BUYI,BUYT,BUYT2,BUYW,BUYW2,CLPEVA,CONFEE,CPRICE,CSTMNT,DOWNPCT,DWNPAY,FLRENT,FMHOTF,FRENT,HELC,HELCN,HELUMN,HELUMP,HUDADMIN,HUDSAMP,IFFEE,INCS,LANPMT,LOOKHS,LOOKNS,LPRICE,LRENT,LVALUE,MCNT,MG,MHOTFE,NUMMOR,POOR,PRENT,PRIN01,PROJ,PVALUE,RAM,RCNTRL,REGMOR,RENT,RNTADJ,TADJ,TXRE,VALUE,VCHRMOV,ZSMHC,APPLY,CUSHOM,DLINE1,ELDER,FRSTHO,HCARE,HDSB,HERRND,HHAGE,HHCITSHP,HHEAR,HHGRAD,HHINUSYR,HHKIDU18,HHLDKID,HHMAR,HHNATVTY,HHPAR,HHPCARE,HHPERRND,HHPHEAR,HHPLINE,HHPMEMRY,HHPSEE,HHPWALK,HHRACE,HHREL,HHSEX,HHSPAN,HHSPOS,HHTEN,HMEMRY,HSEE,HWALK,KIDU18,LANG,MOVEDLY,NONREL,NOSTEP,NROWNR,NRPAYM,PER,PERSINT,RESPTYP,SAMEHH,SAMEHH2,SNITEV,STATUS,ZADULT,ZMVGRP,CROPSL,HHPQALIM,HHPQDIV,HHPQINT,HHPQOTHER,HHPQRENT,HHPQRETIR,HHPQSAL,HHPQSELF,HHPQSS,HHPQSSI,HHPQWELF,HHPQWKCMP,HHPVOTHER,HHSAL,LODG,QALIM,QDIV,QFS1,QINT,QOTHER,QRENT,QRETIR,QSELF,QSS,QSSI,QWELF,QWKCMP,SUBRNT,VCHER,VOTHER,VOTHER2,ZINC,ZINC2,ZINCH,ZINCN
'99','89','2','4','7400','1',2,'2',1,3,1970,'-6',0,3,-6,'3','1',0,1,-6,'2','1','-6','1','2','-6',0,0,1,'-6','-6',2,'-6','-6','-6','1',0,'1','-6','-6',1,'1',0,1,11000,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'-6','2',0,0,'-6','-6','1','1','1','-6','1',0,'1',6,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','2','2','-6','2','1',1,1100,'-6','-6',-6,'1','1','-6','5','-6',-6,'-6','1','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','2','-6','2','1','2',9,'2','-6','2','2','2','2','2','-6','-6','4','-6','-6','-6','1','1','1','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',-6,-6,560,-6,'2','2','-6','-6','-6',-6,-6,-6,-6,'-6','-6',-6,-6,12,'-6',-6,-6,'-6','4','2','-6','-6','-6','3','2',-6,-6,-6,-6,'-6',-6,-6,165,-6,-6,'-6',-6,'-6','2',-6,1900,'2','-6','-6',-6,'-6',2098,'-6','-6',3,0,'-6','2','2','2',28,'1','2',38,-6,0,0,'6','057',2,'2','2','2',1,'2','2','2','07',1,'1','1',-9,'1','2','2','2',3,'1','2',0,'2','-6','-6',7,'2','6','2','4','-6','1',4,'1','-6','2','2','2','2','2','2','1','2','2','2','2','2',-13,24000,-6,'2','2','-6','2','2','2','2','2','2','2','1','2','2','-6',8361,8361,60961,60961,'1',-6
'99','89','2','4','5775','1',2,'1',2,2,1990,'-6',1,-6,2,'1','1',0,0,-6,'1','1','-6','1','-6','2',0,0,4,'-6','-6',2,'-6','-6','2','1',0,'1','-6','2',1,'2',0,1,-6,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'3',145,'2','-6',0,0,'-6','-6','1','1','1','-6','1',0,'1',4,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','2','-6','1','1',1,1245,'-6','-6',-6,'1','1','-6','5','-6',-6,'-6','-9','-6','1','2','-6','-6','-6','-6','-6','-6','1','-6','-6','2','-6','-6','2','-6','2','-9','2',-9,'-9','-6','-9','2','-9','-9','-9','-6','-6','-9','-9','-9','-6','-9','-9','-9','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','2',120,840,360,-6,'1','-6','-6','-6','-6',-6,-6,-6,-6,'-6','-6',-6,-6,12,'-6',-6,-6,'-6','4','2','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6',-6,-6,81,-6,-6,'-9',-6,'-6','-9',-6,1050,'-9','-6','-6',-6,'-6',1239,'-6','-6',1,1,'-6','2','1','2',93,'1','2',40,-6,0,0,'3','057',-6,'2','2','2',1,'2','1','2','01',2,'2','2',-6,'1','2','1','2',0,'-9','2',0,'1','-6','-6',1,'3','-9','1','1','-6','1',1,'0','-6','2','2','2','2','2','2','2','2','1','2','2','2',9000,0,-6,'2','2','-9','2','2','2','2','2','1','2','2','2','-9','-6',9000,9000,9000,9000,'-9',-9
'99','89','2','4','5775','1',2,'2',1,1,1940,'-6',0,-6,-6,'3','1',1,0,-6,'2','2','2','2','-6','-6',0,0,1,'-6','-6',2,'-6','-6','-6','2',0,'1','1','-6',1,'1',0,1,1700,'1',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'4',1,'-6','2',0,0,'-6','-9','1','1','1','-9','1',0,'1',4,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','2','1','-6','2','1',2,-7,'-6','-6',-6,'2','1','-6','5','-6',2003,'-6','-6','-6','1','2','-6','-9','-6','-7','-9','2','-6','2','2','2','2','2','2','-6','2','-6','2',-9,'2','-6','2','2','2','2','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',510,360,240,-9,'1','-6','-6','-6','-6',-9,-9,-9,-9,'-6','-9',-6,-9,-6,'2',-6,-6,'2','-6','2','-9','-6','-6','-6','-6',-9,-6,-6,1,'1',-9,1,1,-6,450,'-6',-6,'-6','-6',1,-6,'-6','-6','-9',170000,'-6',771,'-6','-6',1,1,'-9','2','2','2',78,'1','2',41,-6,0,0,'3','057',-6,'2','2','2',1,'2','2','2','01',2,'2','2',-6,'1','2','2','2',0,'-9','2',0,'2','-9','-9',1,'3','-9','2','5','-6','1',1,'0','-6','2','2','2','2','2','2','2','2','2','2','2','2',-13,0,-6,'2','2','-9','2','2','2','2','2','2','2','2','2','-6','-6',-13,-13,-13,-13,'-9',-9
'99','89','2','4','5775','1',2,'1',1,1,1990,'-6',0,-6,0,'3','1',0,0,-6,'2','1','-6','2','-6','1',0,0,1,'-6','-6',2,'-6','-6','1','2',0,'1','1','1',1,'1',0,1,-6,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'3',6,'2','-6',0,0,'-6','-6','1','1','1','-6','1',0,'1',3,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','2','2','-6','2','1',1,-7,'-6','-6',-6,'2','1','-6','5','-6',-6,'-6','1','-6','1','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','2','-6','-6','2','-6','2','1','2',8,'2','-6','2','2','2','2','2','-6','-6','1','1','1','-6','1','1','1','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',-6,-6,-6,-6,'2','2','-6','2','-6',-6,-6,-6,-6,'-6','-6',-6,-6,12,'-6',-6,-6,'-6','3','1','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6',-6,-6,143,313,-6,'2',-6,'-6','2',-6,600,'2','-6','-6',-6,'-6',351,'2','-6',1,1,'-6','2','2','2',88,'1','2',36,-6,0,0,'3','057',-6,'2','2','2',1,'2','2','2','01',2,'2','2',-6,'1','2','2','2',0,'1','2',0,'1','-6','-6',1,'1','6','1','1','-6','1',1,'0','-6','2','2','2','2','2','2','2','2','1','2','2','2',15876,0,-6,'2','2','2','2','2','2','2','2','1','2','2','2','2','2',15876,15876,15876,15876,'1',-6
'99','89','1','4','7360','1',2,'2',2,3,1950,'-6',0,4,-6,'3','1',0,1,-6,'1','2','2','1','1','-6',0,0,2,'-6','-6',1,'-6','-6','-6','1',1,'1','-6','-6',1,'1',0,1,2400,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'-6','2',0,0,'-6','-6','1','1','1','2','1',0,'1',6,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','1','-6','2','1',1,1900,'-6','-6',-6,'1','1','-6','5','-6',1977,'-6','-6','-6','1','2','-6','2','2','2','-9','2','-6','2','2','2','2','2','2','-6','2','-6','2',8,'1','-6','2','2','2','2','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','2','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',-6,408,900,1850,'2','-6','-6','-6','-6',-6,-6,-6,2000,'8','2',-6,-6,-6,'2',-6,-6,'2','-6','2','2','2','-6','-6','-6',50000,-6,-6,-6,'2',-6,-6,87,-6,-6,'-6',-6,'2','-6',-6,-6,'-6','-6','2',1000000,'-6',589,'-6','-6',2,1,'1','2','2','2',79,'1','2',40,-6,0,0,'3','057',-6,'2','2','2',2,'2','2','2','01',2,'2','2',-6,'1','2','2','2',0,'1','2',0,'1','2','1',1,'1','1','1','1','-6','1',1,'0','-6','2','2','2','2','2','2','2','2','1','2','2','2',9600,0,-6,'2','2','2','2','2','2','2','2','1','2','2','2','-6','-6',9600,9600,9600,9600,'1',-6
'99','89','1','4','7360','1',2,'2',2,3,1960,'-6',0,1,-6,'3','1',0,1,-6,'2','2','2','1','2','-6',0,0,2,'-6','-6',2,'-6','-6','-6','1',1,'1','-6','-6',1,'1',0,1,3125,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'-6','2',1,0,'-6','-6','1','1','2','2','1',0,'1',7,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','1','-6','2','1',1,-7,'-6','-6',-6,'1','1','-6','5','-6',1995,'-6','-6','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','2','-6','2','-6','2',7,'2','-6','2','2','2','2','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',-6,480,1200,4050,'2','-6','-6','-6','-6',57,-6,-6,-8,'5','2',-6,-6,-6,'2',-6,-6,'2','-6','2','2','2','-6','-6','-6',270000,-6,-6,1,'1',-6,1,90,-6,2500,'-6',-6,'-6','-6',1,-6,'-6','-6','2',700000,'-6',3101,'-6','-6',2,0,'2','2','2','2',61,'4','2',38,1991,0,0,'1','207',-9,'2','2','2',2,'2','2','2','04',1,'1','2',3,'1','2','2','2',0,'1','2',0,'2','2','2',2,'1','1','1','1','-6','1',2,'0','-6','2','2','2','2','2','2','2','2','1','2','2','2',14000,0,-6,'2','2','2','2','2','2','2','2','1','2','2','2','-6','-6',13987,13987,13987,13987,'1',-6
'99','89','2','4','7360','1',2,'2',3,4,1960,'-6',-6,3,-6,'3','1',1,1,-6,'1','1','2','1','2','-6',-6,1,2,'-6','-6',1,'-6','-6','-6','1',0,'1','-6','-6',1,'1',0,1,700,'-6',-9,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'-6','-6',0,0,'-6','-6','-6','1','1','-6','1',0,'1',9,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','2','1','1',1,2800,'-8','-6',7,'1','1','-6','5','-6',-6,'-6','-6','-6','1','2','-6','2','2','2','1','2','-6','2','2','-6','2','2','-6','-6','-6','-6','2',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6','-6',-6,-6,-6,'-6',-6,-6,'-6','-6','2','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6',-6,-6,-6,-6,-6,'-6',-6,'-6','-6',-6,-6,'-6','-6','-6',800000,'-6',-6,'-6','-6',-6,-6,'-6','-6','-6','-6',-6,'-6','-6',-6,-6,-6,-6,'-6','-6',-6,'-6','-6','-6',-6,'-6','-6','-6','-6',-6,'-6','-6',-6,'-6','-6','-6','-6',-6,'-9','-6',-6,'2','-6','-6',-6,'1','1','1','-6','-6','3',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6',-6,-6,-6,'-9','-9','-6','-9','-9','-9','-9','-9','-9','-9','-9','-9','-6','-6',-6,-6,-6,-6,'-6',-6
'99','89','1','4','8720','-6',-6,'-6',-6,-6,-6,'-6',-6,-6,-6,'-6','-6',-6,-6,-6,'-6','-6','-6','-6','-6','-6',-6,-6,-6,'-6','-6',-6,'-6','-6','-6','-6',-6,'-6','-6','-6',-6,'-6',-6,-6,-6,'-6',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','2',-6,'-6',-6,'-6','-6',-6,-6,'-6','-6','-6','-6','-6','-6','-6',-6,'-6',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6',1,-6,'-6','-6',-6,'-6','-6','-6','-6','-6',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6','-6',-6,-6,-6,'-6',-6,-6,'-6','-6','2','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6',-6,-6,-6,-6,-6,'-6',-6,'-6','-6',-6,-6,'-6','-6','-6',-6,'-6',-6,'-6','-6',-6,-6,'-6','-6','-6','-6',-6,'-6','-6',-6,-6,-6,-6,'-6','-6',-6,'-6','-6','-6',-6,'-6','-6','-6','-6',-6,'-6','-6',-6,'-6','-6','-6','-6',-6,'-6','-6',-6,'-6','-6','-6',-6,'1','-9','1','-6','-6','4',-6,'-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6',-6,-6,-6,'-9','-9','-6','-9','-9','-9','-9','-9','-9','-9','-9','-9','-6','-6',-6,-6,-6,-6,'-6',-6
'99','89','2','4','7360','1',2,'2',2,3,1960,'-6',0,4,-6,'3','1',0,1,-6,'1','1','2','1','2','-6',0,1,1,'-6','-6',1,'-6','-6','-6','1',0,'1','-6','-6',1,'1',1,1,5200,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'-6','2',0,0,'-6','-6','1','1','1','1','1',0,'1',7,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','1','-6','2','1',1,2500,'-6','-6',-6,'1','1','-6','5','-6',1965,'-6','-6','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','2','-6','2','-6','2',9,'2','-6','2','2','2','2','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',1500,720,960,3050,'1','-6','-6','-6','-6',-6,-6,-6,3000,'-6','-6',-6,-6,-6,'2',-6,-6,'2','-6','2','2','2','-6','-6','-6',-6,-6,-6,-6,'2',-6,-6,236,-6,-6,'-6',-6,'2','-6',-6,-6,'-6','-6','2',1350000,'-6',901,'-6','-6',1,1,'1','2','2','2',77,'4','2',44,1952,0,1,'4','231',-9,'2','2','2',1,'2','2','2','04',1,'2','2',-9,'1','2','2','2',0,'1','2',0,'1','2','2',2,'1','1','1','1','-6','1',2,'0','-6','2','2','2','2','2','1','2','2','1','2','2','2',24000,0,-6,'2','2','-6','2','2','2','1','2','1','2','2','2','-6','-6',33000,33000,33000,33000,'1',-6
'99','89','2','4','5775','1',2,'1',2,3,1960,'-6',0,3,-6,'3','1',0,1,-6,'1','1','2','1','2','-6',0,1,1,'-6','1',1,'-9','1','-6','1',0,'1','-6','-6',1,'1',1,1,12000,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'2','2',0,0,'-6','-6','1','1','1','2','1',0,'1',7,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','2','1','-6','2','1',1,2100,'-6','-6',-6,'1','1','-6','5','-6',2008,'-6','-6','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','2','-6','2','-6','2',8,'2','-6','2','2','2','2','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',2250,600,800,-9,'1','-6','-6','-6','-6',-6,-6,-6,-7,'7','2',-6,-6,-6,'2',-6,-6,'2','-6','2','2','2','-6','2','1',1320000,-6,-6,-6,'2',-6,-6,81,-6,-6,'-6',-6,'-6','-6',-6,-6,'-6','-6','-7',750000,'-6',909,'-6','-6',1,0,'2','2','2','2',41,'1','2',40,-6,2,2,'2','057',-9,'2','2','2',1,'2','2','2','01',1,'2','2',-9,'1','2','2','2',2,'1','2',0,'2','1','2',3,'1','1','1','1','-6','1',1,'1','-6','2','2','2','2','2','2','2','1','2','2','2','2',15000,0,-6,'2','2','2','2','2','2','2','1','2','2','2','2','-6','-6',14987,14987,14987,14987,'2',1121003
'99','89','1','4','7500','1',2,'1',3,3,1995,'-6',0,4,-6,'3','1',0,1,-6,'1','1','2','1','2','-6',0,1,2,'-6','-6',1,'-6','-6','1','1',1,'1','-6','-6',1,'1',1,1,44000,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'2','2',1,0,'-6','-6','1','1','1','-6','1',0,'1',8,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','1','-6','1','1',1,3785,'-6','-6',-6,'1','1','-6','5','-6',1997,'-6','-6','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','1','-6','2','-6','2',10,'2','-6','2','2','2','2','2','-6','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',3900,210,3161,8250,'1','-6','-6','-6','-6',-6,75,900000,800,'8','1',-6,-6,-6,'2',-6,-6,'2','-6','2','1','-6','-6','-6','-6',-6,-6,-6,-6,'2',-6,-6,470,-6,-6,'-6',-6,'2','-6',-6,-6,'-6','-6','2',1300000,'-6',1762,'-6','3',2,1,'1','2','2','2',75,'1','2',44,-6,0,0,'3','057',-6,'2','2','2',2,'2','2','2','01',2,'2','2',-6,'1','2','2','2',0,'1','2',0,'1','2','2',1,'1','1','1','1','-6','1',1,'0','-6','2','1','2','1','2','2','2','2','1','2','2','2',52000,0,-6,'2','1','-6','2','1','2','2','2','1','2','2','2','-6','-6',52000,52000,52000,52000,'1',-6
'99','89','2','4','5775','1',2,'2',1,2,1975,'-6',1,-6,1,'3','1',0,0,-6,'1','1','-6','1','-6','1',0,0,2,'-6','-6',2,'-6','-6','-6','1',0,'1','-6','1',1,'1',0,1,-6,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'3',100,'-6','-6',0,0,'-6','-6','1','1','1','-6','1',0,'1',4,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','2','-6','2','1',1,850,'-6','-6',-6,'1','1','-6','5','-6',-6,'-6','3','-6','1','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','2','-6','-6','2','-6','1','1','2',5,'2','2','2','2','2','2','2','-6','-6','1','1','3','-6','1','1','1','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','2','2','2','1','2','-6','-6','1',180,360,140,-6,'1','-6','-6','-6','-6',-6,-6,-6,-6,'-6','-6',-6,-6,12,'-6',-6,-6,'-6','4','2','-6','-6','-6','2','1',-6,-6,-6,-6,'-6',-6,-6,700,-6,-6,'-6',-6,'-6','2',-6,1800,'2','-6','-6',-6,'-6',1984,'-6','-6',1,0,'-6','2','2','2',35,'1','2',45,-6,0,0,'4','057',-6,'2','2','2',1,'2','2','2','01',2,'2','2',-6,'1','2','2','2',0,'1','1',0,'2','-6','-6',1,'2','6','2','2','-6','1',1,'1','-6','2','2','2','2','2','2','1','2','2','2','2','2',-13,84000,-6,'2','2','-6','2','2','2','2','2','2','2','2','2','2','-6',-13,-13,83987,83987,'2',-8
'99','89','2','4','7360','1',2,'2',1,3,1940,'-6',0,3,-6,'3','1',0,1,-6,'1','1','2','1','2','-6',0,1,1,'-6','-6',1,'-9','-9','-6','1',1,'1','-6','-6',1,'1',0,1,17000,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',-6,'1',1,'-6','2',0,0,'-6','-6','1','1','1','2','1',0,'1',7,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','2','1','-6','2','1',1,1600,'-6','-6',-6,'1','1','-6','5','-6',1954,'-6','-6','-6','1','2','-6','2','2','2','1','2','-6','2','2','2','2','2','2','-6','2','-6','2',10,'2','-6','2','2','2','2','2','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','-6','-6','-6','-6','1','-6','-6','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','-6','1',6047,332,300,2550,'1','-6','-6','-6','-6',-6,-6,-6,600,'3','2',-6,-6,-6,'2',-6,-6,'2','-6','2','2','2','-6','-6','-6',10000,-6,-6,-6,'2',-6,-6,429,-6,-6,'-6',-6,'2','-6',-6,-6,'-6','-6','2',2520000,'-6',1018,'-6','-6',2,2,'2','2','1','1',89,'4','2',45,1951,0,0,'1','650',-9,'2','1','2',1,'2','2','2','01',1,'1','2',2,'1','2','2','1',0,'1','2',0,'1','2','2',2,'1','1','1','1','-6','1',2,'0','-6','2','1','1','2','2','2','2','2','1','2','2','2',27300,0,-6,'2','1','-6','1','2','2','2','2','1','2','2','2','-6','-6',59800,59800,59800,59800,'1',-6
'99','89','2','4','5775','1',1,'1',1,3,1950,'-6',1,4,-6,'3','1',0,0,-6,'1','1','-6','1','2','-6',0,0,1,'-6','-6',1,'-9','-9','-6','1',0,'1','-6','-6',1,'1',0,1,20000,'-6',-6,'2','2','2','2','2','2','2','2','2','2','2','2','2','2',2,'1',1,'2','2',0,0,'-6','-6','1','1','1','-6','1',0,'1',5,'-6','-6','-6','-6','-6','1','-6','-6','-6','-6','-6','2','2','-6','2','1',1,1000,'-6','-6',-6,'1','1','-6','5','-6',-6,'-6','1','-6','1','1','-6','2','2','2','1','2','-6','2','2','2','2','2','1','-6','2','1','2',8,'1','-6','2','2','1','1','2','-6','1','1','1','1','2','1','1','1','2','2','2','1','1','-6','-6','-6','0','-6','-6','2','1','1','4','1','-6','-6','1','-6','1','-6','-6','-6','-6','-6','-6','2','2',-6,200,225,-6,'2','-6','-6','-6','-6',-6,-6,-6,-6,'-6','-6',-6,-6,12,'-6',-6,-6,'-6','4','2','-6','-6','-6','-6','-6',-6,-6,-6,-6,'-6',-6,-6,265,-6,-6,'-6',-6,'-6','2',-6,1800,'2','-6','-6',-6,'-6',1924,'-6','-6',2,0,'-6','2','2','2',57,'5','2',42,1997,0,2,'2','215',-9,'2','2','2',2,'2','2','2','04',1,'2','2',-9,'1','2','2','2',0,'1','2',0,'1','-6','-6',3,'1','6','1','1','-6','1',3,'0','-6','2','2','2','1','2','1','1','2','2','2','2','2',18000,10000,-6,'2','2','-6','2','1','2','1','2','2','2','2','2','2','-6',17974,17974,47974,47974,'2',40000
