,County Name,State,ObamaVotes.12,RomneyVotes.12,votes_dem.16,votes_gop.16,total_votes.16,per_dem.16,per_gop.16,diff.16,per_point_diff.16,bushVote.04,kerryVote.04,Total.Precincts.08,Precincts.Reporting.08,Obama.08,McCain.08,Other.08,name,x_coord,y_coord,state_abbr,total_population,white_population,white_population_error,black_population,black_population_error,total_households,average_household_size,average_family_size,fertility,enrolled_hs,enrolled_higher_ed,edu_less_than_9th,edu_hs_no_diploma,edu_hs_diploma,edu_college_no_degree,edu_college_bachelors,edu_college_graduate_professional,in_labor_force_yes,in_labor_force_no,public_transportation_to_work,working_at_home,occupation_management_business_science_arts,income_less_than_10000,income_10000_to_24999,income_25000_to_49999,income_50000_to_99999,income_100000_to_149999,income_150000_to_199999,income_more_than_200000
823,duchesne,utah,570,5608,500,5505,6932,0.0721292556,0.7941431044,1884,2334,4590,707,24,24,897,4592,138,Duchesne,-110.435306,40.281647,UT,17408,15847,157,NA,NA,6521,2.62,2.89,378,1281,459,274,1234,3675,2491,1034,557,7551,4711,17,352,2019,489,970,1506,2595,660,660,150
824,dukes,massachusetts,7955,2789,8338,2474,11434,0.7292286164,0.2163722232,2077,1593,2602,7265,7,7,7892,2438,173,Dukes,-70.703017,41.374478,MA,16155,14151,929,NA,NA,5530,2.92,3.58,104,1029,475,163,575,3176,2261,2471,2050,8949,4409,336,697,2549,325,681,1171,1874,784,784,410
825,dundy,nebraska,176,791,89,823,949,0.0937829294,0.8672286617,2357,2421,858,186,4,4,218,783,18,Dundy,-101.689773,40.181944,NE,1963,1916,3,NA,NA,879,2.17,2.73,2,139,70,59,63,410,325,278,102,1045,537,0,109,534,70,219,261,248,40,40,20
826,dunklin,missouri,3635,6849,2360,8026,10574,0.223188954,0.7590315869,2031,1693,6721,4901,22,22,4528,7034,179,Dunklin,-90.089776,36.270511,MO,32140,28260,41,3255,167,12885,2.37,2.91,426,1762,907,3050,3874,8081,3349,1215,932,12272,12754,7,188,2643,1772,3601,4150,2545,565,565,122
827,dunn,north dakota,493,1494,356,1753,2199,0.161891769,0.7971805366,365,2094,1176,569,11,11,526,1078,37,Dunn,-102.615277,47.358187,ND,3477,2961,668,NA,NA,1318,2.58,3.15,3,236,89,240,148,874,528,307,60,1924,890,0,357,696,100,245,329,447,132,132,22
828,dunn,wisconsin,11303,10210,9025,11487,22029,0.4096872305,0.521448999,1031,62,10878,12039,35,35,13055,9616,353,Dunn,-91.897593,44.94756,WI,43365,41142,41,NA,NA,15862,2.5,2.96,431,2076,7483,963,1406,9480,4974,4112,2261,23677,11686,30,1190,6633,1086,2582,4506,5637,1607,1607,150
829,dupage,illinois,197411,193333,222499,164355,412929,0.5388311308,0.3980224203,2064,152,218369,179543,733,733,227416,182860,5610,DuPage,-88.08593,41.851713,IL,911481,732256,464,40452,1017,335453,2.68,3.23,12360,55650,69247,21221,26999,121609,118350,169182,104116,505560,203588,29771,21070,205759,10628,29149,62046,111608,63606,63606,29958
830,duplin,north carolina,8923,11330,8196,12151,20601,0.3978447648,0.5898257366,1600,316,9468,6780,21,21,8866,10734,76,Duplin,-77.934958,34.93628,NC,56657,32508,1047,14626,309,20969,2.66,3.28,942,2766,2728,5114,6171,11751,7363,2789,974,26629,17151,59,582,5489,2494,5667,6350,5037,1035,1035,158
831,durham,north carolina,109185,33326,118783,27879,150543,0.7890303767,0.1851896136,2632,1977,34124,72986,59,59,102237,32040,642,Durham,-78.874855,36.037733,NC,258578,119759,73,96789,1028,105201,2.32,2.95,5353,12229,31164,9119,13994,32090,28296,41788,32821,141272,64360,4232,4871,62611,8760,16589,27337,31683,13070,13070,3733
832,dutchess,new york,59885,52320,56874,58163,120199,0.4731653342,0.483889217,276,47,59122,53034,249,245,64759,55601,1413,Dutchess,-73.747154,41.764453,NY,296152,236568,23,28694,1082,106952,2.59,3.13,3410,18369,26168,7798,13667,57991,34466,35727,27265,153872,83435,6320,6276,56576,5113,11749,20743,36298,19512,19512,5800
833,duval,florida,196657,211553,203627,210061,428734,0.4749495025,0.4899564765,2197,185,219251,158121,285,285,192173,197171,2403,Duval,-81.648509,30.33415,FL,854848,530593,269,250792,190,330276,2.54,3.2,11788,44575,64283,21096,50443,169155,130309,94588,44429,458286,214214,6435,14289,134238,26488,52584,87545,108697,35413,35413,8922
834,duval,texas,3331,979,2783,1316,4159,0.6691512383,0.3164222169,423,910,1160,2916,12,12,3298,1076,35,Duval,-98.523719,27.683283,TX,11999,9252,826,NA,NA,4138,2.75,3.38,119,901,448,1153,1473,2516,1289,335,298,5119,4074,0,308,868,592,1252,1079,880,257,257,29
835,dyer,tennessee,3757,9921,2815,10175,13290,0.2118133935,0.765613243,2365,1768,8447,5287,16,16,4411,9859,180,Dyer,-89.411842,36.057273,TN,38174,31432,164,5540,309,15079,2.48,2.97,925,2438,1457,2092,3353,10695,4257,2324,1362,17646,12156,7,425,4300,1713,3729,4267,4001,1006,1006,157
836,eagle,colorado,12598,9317,12652,8153,22611,0.5595506612,0.3605767105,1753,347,8469,9630,30,30,13055,8112,282,Eagle,-106.703546,39.624387,CO,50793,46274,1147,NA,NA,18183,2.79,3.26,985,2204,1543,2463,1883,6836,5495,11611,3982,32682,7132,2084,2226,10221,693,1906,3284,6504,3390,3390,1297
837,early,georgia,2762,2556,2165,2552,4782,0.4527394396,0.5336679214,1579,2469,2494,1698,13,13,2602,2709,21,Early,-84.9092,31.330419,GA,11286,5382,2,5785,1052,4077,2.72,3.46,87,718,610,605,1049,3022,956,505,467,4160,4504,51,32,1007,533,1396,938,816,302,302,56
838,eastbatonrouge,louisiana,102460,92235,102711,84620,196332,0.523149563,0.4310046248,684,2532,99943,82298,314,314,99431,95297,2297,East Baton Rouge Parish,-91.093592,30.54375,LA,435815,218862,1011,195950,931,166543,2.55,3.22,6868,22818,49985,9942,23981,71251,62284,55877,32078,230884,113152,3562,5128,77812,16164,30842,42025,45252,18840,18840,6247
